日付,施設（本院に合算）コード,DCF施設コード,品目コード,実績
20230419,F001,F001,00001,117
20230504,F001,F001,00001,108
20230609,F001,F001,00001,51
20230621,F001,F001,00001,79
20230712,F001,F001,00001,101
20230809,F001,F001,00001,68
20230823,F001,F001,00001,37
20230924,F001,F001,00001,111
20231013,F001,F001,00001,97
20231110,F001,F001,00001,131
20231204,F001,F001,00001,141
20240106,F001,F001,00001,54
20240123,F001,F001,00001,62
20240219,F001,F001,00001,126
20240307,F001,F001,00001,48
20240322,F001,F001,00001,75
20240424,F001,F001,00001,153
20240507,F001,F001,00001,147
20240610,F001,F001,00001,165
20240710,F001,F001,00001,154
20240827,F001,F001,00001,201
20240914,F001,F001,00001,156
20241007,F001,F001,00001,53
20241026,F001,F001,00001,65
20241108,F001,F001,00001,162
20241208,F001,F001,00001,181
20250104,F001,F001,00001,170
20250206,F001,F001,00001,160
20250308,F001,F001,00001,89
20250322,F001,F001,00001,56
20250408,F001,F001,00001,143
20250524,F001,F001,00001,154
20250608,F001,F001,00001,143
20250721,F001,F001,00001,226
20250802,F001,F001,00001,195
20250925,F001,F001,00001,165
20251028,F001,F001,00001,171
20251112,F001,F001,00001,176
20251207,F001,F001,00001,65
20251225,F001,F001,00001,107
20230408,F002,F002,00001,79
20230421,F002,F002,00001,68
20230508,F002,F002,00001,24
20230523,F002,F002,00001,83
20230605,F002,F002,00001,10
20230615,F002,F002,00001,6
20230625,F002,F002,00001,72
20230706,F002,F002,00001,63
20230716,F002,F002,00001,29
20230724,F002,F002,00001,38
20230810,F002,F002,00001,51
20230826,F002,F002,00001,86
20230909,F002,F002,00001,147
20231007,F002,F002,00001,58
20231018,F002,F002,00001,44
20231027,F002,F002,00001,20
20231108,F002,F002,00001,94
20231122,F002,F002,00001,71
20231208,F002,F002,00001,22
20231226,F002,F002,00001,115
20240107,F002,F002,00001,56
20240126,F002,F002,00001,47
20240206,F002,F002,00001,68
20240213,F002,F002,00001,55
20240225,F002,F002,00001,4
20240304,F002,F002,00001,30
20240316,F002,F002,00001,26
20240326,F002,F002,00001,87
20240406,F002,F002,00001,124
20240421,F002,F002,00001,29
20240503,F002,F002,00001,125
20240607,F002,F002,00001,87
20240624,F002,F002,00001,55
20240706,F002,F002,00001,56
20240722,F002,F002,00001,63
20240804,F002,F002,00001,63
20240817,F002,F002,00001,50
20240826,F002,F002,00001,42
20240908,F002,F002,00001,119
20240922,F002,F002,00001,20
20241009,F002,F002,00001,64
20241026,F002,F002,00001,86
20241109,F002,F002,00001,95
20241121,F002,F002,00001,77
20241206,F002,F002,00001,34
20241224,F002,F002,00001,96
20250108,F002,F002,00001,52
20250126,F002,F002,00001,84
20250206,F002,F002,00001,44
20250220,F002,F002,00001,82
20250310,F002,F002,00001,76
20250322,F002,F002,00001,57
20250406,F002,F002,00001,68
20250424,F002,F002,00001,96
20250507,F002,F002,00001,105
20250518,F002,F002,00001,50
20250525,F002,F002,00001,19
20250608,F002,F002,00001,51
20250621,F002,F002,00001,93
20250729,F002,F002,00001,111
20250807,F002,F002,00001,44
20250815,F002,F002,00001,106
20250826,F002,F002,00001,21
20250905,F002,F002,00001,45
20250918,F002,F002,00001,59
20250925,F002,F002,00001,46
20251005,F002,F002,00001,53
20251017,F002,F002,00001,34
20251025,F002,F002,00001,46
20251108,F002,F002,00001,83
20251123,F002,F002,00001,95
20251210,F002,F002,00001,95
20251225,F002,F002,00001,46
20230408,F003,F003,00001,56
20230417,F003,F003,00001,127
20230424,F003,F003,00001,23
20230507,F003,F003,00001,49
20230517,F003,F003,00001,51
20230526,F003,F003,00001,69
20230610,F003,F003,00001,91
20230621,F003,F003,00001,115
20230708,F003,F003,00001,27
20230714,F003,F003,00001,37
20230725,F003,F003,00001,101
20230805,F003,F003,00001,89
20230817,F003,F003,00001,88
20230826,F003,F003,00001,55
20230908,F003,F003,00001,40
20230917,F003,F003,00001,53
20230928,F003,F003,00001,80
20231009,F003,F003,00001,139
20231023,F003,F003,00001,108
20231107,F003,F003,00001,7
20231115,F003,F003,00001,68
20231128,F003,F003,00001,133
20231206,F003,F003,00001,169
20231222,F003,F003,00001,87
20240110,F003,F003,00001,62
20240126,F003,F003,00001,142
20240208,F003,F003,00001,105
20240221,F003,F003,00001,130
20240309,F003,F003,00001,107
20240326,F003,F003,00001,156
20240408,F003,F003,00001,203
20240421,F003,F003,00001,61
20240505,F003,F003,00001,89
20240515,F003,F003,00001,40
20240527,F003,F003,00001,130
20240606,F003,F003,00001,77
20240616,F003,F003,00001,104
20240626,F003,F003,00001,56
20240708,F003,F003,00001,99
20240724,F003,F003,00001,144
20240807,F003,F003,00001,28
20240823,F003,F003,00001,219
20240906,F003,F003,00001,61
20240924,F003,F003,00001,175
20241007,F003,F003,00001,127
20241025,F003,F003,00001,114
20241110,F003,F003,00001,120
20241123,F003,F003,00001,89
20241205,F003,F003,00001,267
20250110,F003,F003,00001,26
20250123,F003,F003,00001,234
20250207,F003,F003,00001,58
20250223,F003,F003,00001,175
20250305,F003,F003,00001,252
20250405,F003,F003,00001,101
20250415,F003,F003,00001,98
20250424,F003,F003,00001,78
20250531,F003,F003,00001,293
20250608,F003,F003,00001,262
20250622,F003,F003,00001,24
20250707,F003,F003,00001,185
20250725,F003,F003,00001,104
20250806,F003,F003,00001,104
20250814,F003,F003,00001,97
20250828,F003,F003,00001,99
20250904,F003,F003,00001,43
20250915,F003,F003,00001,152
20250926,F003,F003,00001,154
20251005,F003,F003,00001,119
20251017,F003,F003,00001,122
20251026,F003,F003,00001,67
20251104,F003,F003,00001,318
20251208,F003,F003,00001,64
20251226,F003,F003,00001,261
