view_date,doctor_id,facility_id,channel_id
2024-06-28,D0166,F143,CH09
2024-07-25,D0166,F143,CH07
2024-09-05,D0166,F143,CH09
2024-09-10,D0166,F143,CH09
2024-09-14,D0166,F143,CH07
2024-12-07,D0166,F143,CH09
2025-01-05,D0166,F143,CH08
2025-01-15,D0166,F143,CH09
2025-03-16,D0166,F143,CH07
2025-05-05,D0166,F143,CH07
2025-06-04,D0166,F143,CH08
2025-08-10,D0166,F143,CH07
2025-09-17,D0166,F143,CH07
2025-11-29,D0166,F143,CH08
2024-11-07,D0166,F143,CH02
2024-12-06,D0166,F143,CH01
2025-03-16,D0166,F143,CH01
2025-03-29,D0166,F143,CH02
2025-04-14,D0166,F143,CH03
2025-04-15,D0166,F143,CH03
2025-05-28,D0166,F143,CH03
2025-07-04,D0166,F143,CH02
2025-07-29,D0166,F143,CH03
2025-07-31,D0166,F143,CH01
2025-08-05,D0166,F143,CH03
2025-08-27,D0166,F143,CH02
2025-10-15,D0166,F143,CH03
2023-07-28,D0166,F143,CH04
2023-08-28,D0166,F143,CH04
2023-09-19,D0166,F143,CH04
2023-09-26,D0166,F143,CH06
2023-09-30,D0166,F143,CH05
2023-11-16,D0166,F143,CH04
2024-02-22,D0166,F143,CH06
2024-03-01,D0166,F143,CH06
2024-03-14,D0166,F143,CH05
2024-03-19,D0166,F143,CH05
2024-03-27,D0166,F143,CH05
2024-04-30,D0166,F143,CH05
2024-05-03,D0166,F143,CH05
2024-05-11,D0166,F143,CH04
2024-06-27,D0166,F143,CH06
2024-07-02,D0166,F143,CH04
2024-09-25,D0166,F143,CH04
2024-10-09,D0166,F143,CH04
2024-10-18,D0166,F143,CH04
2024-11-07,D0166,F143,CH04
2024-11-10,D0166,F143,CH05
2024-11-15,D0166,F143,CH05
2024-12-10,D0166,F143,CH06
2024-12-24,D0166,F143,CH04
2025-03-04,D0166,F143,CH06
2025-04-13,D0166,F143,CH05
2025-04-15,D0166,F143,CH05
2025-06-09,D0166,F143,CH05
2025-07-24,D0166,F143,CH04
2025-10-11,D0166,F143,CH04
2025-10-19,D0230,F170,CH03
2025-11-09,D0230,F170,CH03
2025-12-03,D0230,F170,CH06
2023-08-28,D0061,F061,CH09
2023-12-17,D0061,F061,CH07
2024-02-23,D0061,F061,CH08
2024-04-21,D0061,F061,CH07
2024-05-08,D0061,F061,CH09
2024-06-07,D0061,F061,CH09
2024-06-29,D0061,F061,CH09
2024-08-02,D0061,F061,CH07
2024-08-07,D0061,F061,CH08
2024-08-28,D0061,F061,CH09
2024-12-09,D0061,F061,CH08
2025-02-01,D0061,F061,CH08
2025-04-08,D0061,F061,CH09
2025-10-04,D0061,F061,CH07
2025-10-27,D0061,F061,CH08
2025-11-28,D0023,F023,CH09
2025-12-18,D0023,F023,CH05
2024-04-18,D0306,F193,CH05
2024-05-07,D0306,F193,CH05
2024-04-28,D0306,F193,CH07
2024-05-03,D0306,F193,CH09
2024-05-30,D0306,F193,CH09
2024-05-08,D0286,F188,CH08
2024-07-09,D0286,F188,CH09
2024-07-17,D0286,F188,CH09
