活動日_dt,品目コード,活動種別,活動種別コード,fac_honin,fac,doc,doc_name
2023-08-09,00001,e_contents,AT05,F138,F138,D0156,医師0156
2023-09-02,00001,e_contents,AT06,F138,F138,D0156,医師0156
2023-10-07,00001,e_contents,AT05,F138,F138,D0156,医師0156
2024-01-06,00001,e_contents,AT06,F138,F138,D0156,医師0156
2024-01-14,00001,e_contents,AT04,F138,F138,D0156,医師0156
2024-02-03,00001,e_contents,AT06,F138,F138,D0156,医師0156
2024-04-02,00001,e_contents,AT04,F138,F138,D0156,医師0156
2024-09-28,00001,e_contents,AT06,F138,F138,D0156,医師0156
2024-10-27,00001,e_contents,AT06,F138,F138,D0156,医師0156
2024-12-28,00001,e_contents,AT04,F138,F138,D0156,医師0156
2025-05-07,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-05-17,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-05-24,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-05-26,00001,e_contents,AT05,F138,F138,D0156,医師0156
2025-06-19,00001,e_contents,AT04,F138,F138,D0156,医師0156
2025-07-25,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-09-15,00001,e_contents,AT04,F138,F138,D0156,医師0156
2025-09-24,00001,e_contents,AT04,F138,F138,D0156,医師0156
2025-10-20,00001,e_contents,AT04,F138,F138,D0156,医師0156
2025-11-03,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-12-05,00001,e_contents,AT06,F138,F138,D0156,医師0156
2025-12-09,00001,e_contents,AT04,F138,F138,D0156,医師0156
2023-10-06,00001,webiner,AT01,F138,F138,D0156,医師0156
2023-11-20,00001,webiner,AT03,F138,F138,D0156,医師0156
2023-11-29,00001,webiner,AT03,F138,F138,D0156,医師0156
2023-12-17,00001,webiner,AT01,F138,F138,D0156,医師0156
2024-01-01,00001,webiner,AT01,F138,F138,D0156,医師0156
2024-01-19,00001,webiner,AT03,F138,F138,D0156,医師0156
2024-02-28,00001,webiner,AT03,F138,F138,D0156,医師0156
2024-03-07,00001,webiner,AT03,F138,F138,D0156,医師0156
2024-04-02,00001,webiner,AT01,F138,F138,D0156,医師0156
2024-04-28,00001,webiner,AT03,F138,F138,D0156,医師0156
2024-06-08,00001,webiner,AT03,F138,F138,D0156,医師0156
2024-10-12,00001,webiner,AT01,F138,F138,D0156,医師0156
2025-01-28,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-02-14,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-03-02,00001,webiner,AT03,F138,F138,D0156,医師0156
2025-04-08,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-06-17,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-06-25,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-07-08,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-08-01,00001,webiner,AT03,F138,F138,D0156,医師0156
2025-11-07,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-11-21,00001,webiner,AT02,F138,F138,D0156,医師0156
2025-12-29,00001,webiner,AT01,F138,F138,D0156,医師0156
2024-01-01,00001,e_contents,AT06,F193,F193,D0306,医師0306
2024-02-24,00001,e_contents,AT04,F193,F193,D0306,医師0306
2024-03-19,00001,e_contents,AT05,F193,F193,D0306,医師0306
2024-05-31,00001,e_contents,AT05,F193,F193,D0306,医師0306
2024-06-01,00001,e_contents,AT05,F193,F193,D0306,医師0306
2024-08-03,00001,e_contents,AT06,F193,F193,D0306,医師0306
2024-10-29,00001,e_contents,AT05,F193,F193,D0306,医師0306
2025-01-08,00001,e_contents,AT06,F193,F193,D0306,医師0306
2025-04-01,00001,e_contents,AT06,F193,F193,D0306,医師0306
2025-04-17,00001,e_contents,AT06,F193,F193,D0306,医師0306
2025-05-03,00001,e_contents,AT06,F193,F193,D0306,医師0306
2025-11-24,00001,e_contents,AT05,F193,F193,D0306,医師0306
2024-08-25,00001,webiner,AT01,F193,F193,D0306,医師0306
