活動日_dt,品目コード,活動種別コード,活動種別,fac_honin,fac,doc
2024-11-07,00005,AT08,Web講演会,F143,F143,D0166
2024-12-06,00005,AT07,Web講演会,F143,F143,D0166
2025-03-16,00005,AT07,Web講演会,F143,F143,D0166
2025-03-29,00005,AT08,Web講演会,F143,F143,D0166
2025-04-14,00005,AT09,Web講演会,F143,F143,D0166
2025-04-15,00005,AT09,Web講演会,F143,F143,D0166
2025-05-28,00005,AT09,Web講演会,F143,F143,D0166
2025-07-04,00005,AT08,Web講演会,F143,F143,D0166
2025-07-29,00005,AT09,Web講演会,F143,F143,D0166
2025-07-31,00005,AT07,Web講演会,F143,F143,D0166
2025-08-05,00005,AT09,Web講演会,F143,F143,D0166
2025-08-27,00005,AT08,Web講演会,F143,F143,D0166
2025-10-15,00005,AT09,Web講演会,F143,F143,D0166
2025-10-19,00001,AT09,Web講演会,F170,F170,D0230
2025-11-09,00001,AT09,Web講演会,F170,F170,D0230
2023-07-06,00001,AT07,Web講演会,F188,F188,D0286
2023-08-24,00001,AT07,Web講演会,F188,F188,D0286
2023-10-23,00001,AT09,Web講演会,F188,F188,D0286
2023-11-21,00001,AT07,Web講演会,F188,F188,D0286
2024-03-13,00001,AT08,Web講演会,F188,F188,D0286
2024-04-14,00001,AT07,Web講演会,F188,F188,D0286
2024-06-14,00001,AT09,Web講演会,F188,F188,D0286
2024-08-15,00001,AT08,Web講演会,F188,F188,D0286
2024-08-21,00001,AT08,Web講演会,F188,F188,D0286
2024-09-06,00001,AT09,Web講演会,F188,F188,D0286
2024-10-18,00001,AT09,Web講演会,F188,F188,D0286
2024-11-05,00001,AT09,Web講演会,F188,F188,D0286
2024-01-21,00001,AT07,Web講演会,F018,F018,D0018
2024-02-06,00001,AT07,Web講演会,F018,F018,D0018
2024-02-17,00001,AT07,Web講演会,F018,F018,D0018
2024-03-10,00001,AT09,Web講演会,F018,F018,D0018
2024-04-08,00001,AT09,Web講演会,F018,F018,D0018
2024-06-16,00001,AT08,Web講演会,F018,F018,D0018
2024-07-22,00001,AT09,Web講演会,F018,F018,D0018
2024-07-30,00001,AT08,Web講演会,F018,F018,D0018
2024-09-12,00001,AT08,Web講演会,F018,F018,D0018
2024-09-26,00001,AT09,Web講演会,F018,F018,D0018
2024-09-29,00001,AT08,Web講演会,F018,F018,D0018
2024-10-05,00001,AT07,Web講演会,F018,F018,D0018
2024-12-26,00001,AT08,Web講演会,F018,F018,D0018
2025-01-20,00001,AT07,Web講演会,F018,F018,D0018
2025-01-22,00001,AT09,Web講演会,F018,F018,D0018
2025-03-04,00001,AT09,Web講演会,F018,F018,D0018
2025-05-04,00001,AT08,Web講演会,F018,F018,D0018
2025-05-19,00001,AT07,Web講演会,F018,F018,D0018
2025-06-13,00001,AT08,Web講演会,F018,F018,D0018
2025-08-05,00001,AT09,Web講演会,F018,F018,D0018
2025-08-11,00001,AT08,Web講演会,F018,F018,D0018
2025-08-20,00001,AT08,Web講演会,F018,F018,D0018
2025-09-21,00001,AT07,Web講演会,F018,F018,D0018
2025-12-07,00001,AT09,Web講演会,F018,F018,D0018
2024-06-02,00002,AT07,Web講演会,F021,G021,D0021
2024-07-24,00002,AT09,Web講演会,F021,G021,D0021
2024-10-07,00002,AT07,Web講演会,F021,G021,D0021
2024-10-28,00002,AT07,Web講演会,F021,G021,D0021
2025-05-19,00002,AT08,Web講演会,F021,G021,D0021
2025-06-21,00002,AT07,Web講演会,F021,G021,D0021
2024-06-12,00001,AT09,Web講演会,F176,F176,D0246
2024-07-08,00001,AT09,Web講演会,F176,F176,D0246
2024-07-31,00001,AT07,Web講演会,F176,F176,D0246
2024-09-11,00001,AT09,Web講演会,F176,F176,D0246
2024-10-25,00001,AT07,Web講演会,F176,F176,D0246
2024-10-27,00001,AT09,Web講演会,F176,F176,D0246
2024-11-07,00001,AT09,Web講演会,F176,F176,D0246
2024-11-24,00001,AT07,Web講演会,F176,F176,D0246
2025-02-12,00001,AT07,Web講演会,F176,F176,D0246
2025-02-15,00001,AT07,Web講演会,F176,F176,D0246
2025-04-11,00001,AT07,Web講演会,F176,F176,D0246
2025-05-18,00001,AT08,Web講演会,F176,F176,D0246
2025-05-20,00001,AT07,Web講演会,F176,F176,D0246
2025-06-30,00001,AT09,Web講演会,F176,F176,D0246
2025-07-03,00001,AT09,Web講演会,F176,F176,D0246
2024-03-20,00002,AT09,Web講演会,F146,F146,D0172
2024-05-21,00002,AT07,Web講演会,F146,F146,D0172
2024-10-30,00002,AT08,Web講演会,F146,F146,D0172
2024-11-19,00002,AT09,Web講演会,F146,F146,D0172
2024-12-10,00002,AT08,Web講演会,F146,F146,D0172
2024-12-12,00002,AT08,Web講演会,F146,F146,D0172
2025-01-22,00002,AT08,Web講演会,F146,F146,D0172
2025-02-10,00002,AT09,Web講演会,F146,F146,D0172
2025-05-15,00002,AT09,Web講演会,F146,F146,D0172
2025-07-26,00002,AT09,Web講演会,F146,F146,D0172
2025-09-29,00002,AT08,Web講演会,F146,F146,D0172
2025-10-25,00002,AT09,Web講演会,F146,F146,D0172
2024-03-17,00001,AT09,Web講演会,F056,F056,D0056
2024-04-21,00001,AT07,Web講演会,F056,F056,D0056
2024-05-10,00001,AT09,Web講演会,F056,F056,D0056
2024-05-16,00001,AT08,Web講演会,F056,F056,D0056
2024-06-26,00001,AT08,Web講演会,F056,F056,D0056
2024-07-08,00001,AT08,Web講演会,F056,F056,D0056
2024-07-13,00001,AT08,Web講演会,F056,F056,D0056
2024-07-24,00001,AT09,Web講演会,F056,F056,D0056
2024-08-20,00001,AT08,Web講演会,F056,F056,D0056
2024-09-14,00001,AT09,Web講演会,F056,F056,D0056
2024-09-15,00001,AT07,Web講演会,F056,F056,D0056
2024-10-09,00001,AT09,Web講演会,F056,F056,D0056
2024-11-12,00001,AT08,Web講演会,F056,F056,D0056
2024-12-19,00001,AT07,Web講演会,F056,F056,D0056
2025-06-18,00001,AT09,Web講演会,F056,F056,D0056
2025-09-04,00001,AT09,Web講演会,F056,F056,D0056
2025-09-06,00001,AT09,Web講演会,F056,F056,D0056
2024-01-05,00001,AT09,Web講演会,F199,F199,D0331
2024-03-12,00001,AT08,Web講演会,F199,F199,D0331
2024-04-02,00001,AT07,Web講演会,F199,F199,D0331
2024-10-01,00001,AT08,Web講演会,F199,F199,D0331
2024-11-01,00001,AT07,Web講演会,F199,F199,D0331
2024-11-07,00001,AT09,Web講演会,F199,F199,D0331
2025-01-31,00001,AT09,Web講演会,F199,F199,D0331
2025-02-17,00001,AT08,Web講演会,F199,F199,D0331
2025-03-17,00001,AT09,Web講演会,F199,F199,D0331
